 tempo     90  90_std        dia tipo_vento
 48.54 -23.98    1.43 2006-02-17 meridional
 49.54  29.76    0.18 2006-02-18 meridional
 50.54  27.57    0.29 2006-02-19 meridional
 51.54  48.06    0.52 2006-02-20 meridional
 52.54  27.92    0.42 2006-02-21 meridional
 53.54  -9.56    0.33 2006-02-22 meridional
 54.54 -30.70    0.32 2006-02-23 meridional
 55.54 -13.07    0.50 2006-02-24 meridional
 56.54  -1.25    0.68 2006-02-25 meridional
 57.54 -82.66    0.42 2006-02-26 meridional
 58.54  38.01    0.15 2006-02-27 meridional
 59.50 -57.66    0.19 2006-02-28 meridional
 60.54  50.91    1.14 2006-03-01 meridional
 61.54 -25.50    0.03 2006-03-02 meridional
 62.54  79.96    0.31 2006-03-03 meridional
 63.54 -55.74    0.29 2006-03-04 meridional
 64.54 -16.32    0.13 2006-03-05 meridional
 65.54 -55.92    0.39 2006-03-06 meridional
 66.54 -13.35    0.34 2006-03-07 meridional
 67.54 -78.00    0.22 2006-03-08 meridional
 68.54 -34.39    0.40 2006-03-09 meridional
 69.54 -84.49    0.27 2006-03-10 meridional
 70.54 -27.58    0.45 2006-03-11 meridional
 71.54 -38.07    0.06 2006-03-12 meridional
 72.54 -54.14    0.38 2006-03-13 meridional
 73.54 -62.12    0.21 2006-03-14 meridional
 74.54 -50.78    0.14 2006-03-15 meridional
 75.54 -44.55    0.23 2006-03-16 meridional
 76.54 -69.02    0.29 2006-03-17 meridional
 77.54 -26.21    0.42 2006-03-18 meridional
 78.54 -59.99    0.25 2006-03-19 meridional
 79.54   5.60    1.63 2006-03-20 meridional
 80.54   6.14    0.42 2006-03-21 meridional
 81.54  33.94    0.51 2006-03-22 meridional
 82.54 -39.06    0.09 2006-03-23 meridional
 83.54  60.64    0.44 2006-03-24 meridional
 84.54  25.62    0.39 2006-03-25 meridional
 85.54   7.37    0.57 2006-03-26 meridional
 86.54  33.58    0.09 2006-03-27 meridional
 87.54  61.05    0.04 2006-03-28 meridional
 88.54   6.62    0.24 2006-03-29 meridional
 89.54  17.13    0.20 2006-03-30 meridional
 90.50 -22.00    0.39 2006-03-31 meridional
 91.54  23.34    0.19 2006-04-01 meridional
 92.54 -23.91    0.54 2006-04-02 meridional
 93.54  17.76    0.56 2006-04-03 meridional
 94.54  27.98    0.43 2006-04-04 meridional
 95.54  30.47    0.31 2006-04-05 meridional
 96.54  12.94    0.18 2006-04-06 meridional
 97.54  88.66    0.60 2006-04-07 meridional
 98.54   1.03    0.16 2006-04-08 meridional
 99.54  81.86    0.52 2006-04-09 meridional
100.54 -37.94    0.35 2006-04-10 meridional
101.54  64.64    0.31 2006-04-11 meridional
102.54  63.25    0.79 2006-04-12 meridional
103.54  20.72    0.53 2006-04-13 meridional
104.54    NaN     NaN 2006-04-14 meridional
